turn,fromRank,fromFile,toRank,toFile,timeSpent,win
22,5,2,4,4,10,1
32,5,1,6,3,11,1
60,6,3,7,5,22,1
72,7,5,5,4,21,1
8,7,6,5,5,4,1
10,7,1,5,2,5,1
20,5,2,3,3,7,1
28,5,5,3,4,12,1
34,3,4,5,5,10,1
76,5,5,4,7,29,1
80,4,7,2,6,21,1
110,2,6,1,4,35,1
114,1,4,2,6,29,1
4,7,6,5,5,2,1
10,7,1,6,3,5,1
30,6,3,4,2,12,1
36,4,2,3,0,10,1
42,5,5,4,7,20,1
48,4,7,3,5,13,1
60,3,5,5,6,18,1
8,7,6,5,5,4,1
10,7,1,5,2,5,1
24,5,5,6,3,10,1
30,6,3,4,4,9,1
36,4,4,3,2,10,1
44,3,2,2,4,13,1
50,2,4,4,5,14,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
20,5,2,4,0,9,1
34,4,0,2,1,12,1
46,2,1,4,2,14,1
10,7,6,5,5,5,1
28,7,1,6,3,14,1
30,5,5,3,6,12,1
38,6,3,4,4,12,1
50,4,4,2,5,15,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
32,5,5,3,6,14,1
8,7,6,5,5,4,1
12,5,5,7,6,4,1
14,7,1,5,2,7,1
24,7,6,5,7,9,1
4,7,6,5,5,2,1
8,5,5,3,4,3,1
12,3,4,5,5,4,1
20,7,1,5,2,10,1
30,5,2,7,1,10,1
38,5,5,4,3,16,1
52,7,1,5,2,18,1
54,5,2,4,4,14,1
58,4,4,3,2,15,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
20,5,5,3,4,8,1
32,5,2,3,3,15,1
2,7,1,5,2,1,1
8,5,2,7,1,3,1
14,7,1,5,2,5,1
16,7,6,5,5,8,1
38,5,5,4,3,15,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,5,6,3,7,1
20,6,3,5,1,5,1
22,5,2,4,4,10,1
32,5,1,6,3,11,1
44,6,3,4,2,14,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
16,5,2,4,0,7,1
24,4,0,3,2,8,1
26,3,2,2,4,7,1
38,5,5,4,7,17,1
48,4,7,3,5,14,1
50,3,5,4,7,13,1
4,7,1,5,2,2,1
10,7,6,5,5,5,1
28,5,2,4,4,13,1
30,4,4,2,5,8,1
50,5,5,4,3,22,1
56,4,3,6,2,15,1
58,6,2,5,4,15,1
60,5,4,3,3,15,1
70,3,3,5,4,20,1
72,5,4,3,3,18,1
74,3,3,5,4,19,1
76,5,4,3,3,19,1
78,3,3,5,4,20,1
8,7,6,6,4,4,0
14,6,4,5,6,5,0
30,7,1,5,2,15,0
32,5,2,6,4,8,0
34,6,4,4,5,9,0
36,5,6,6,4,14,0
50,4,5,2,6,16,0
52,6,4,5,2,17,0
64,5,2,4,0,19,0
70,4,0,5,2,19,0
78,5,2,3,3,21,0
80,3,3,4,5,20,0
4,7,1,5,2,2,0
8,7,6,5,5,4,0
18,5,5,6,3,7,0
20,6,3,5,1,5,0
22,5,2,4,4,10,0
62,5,1,3,0,26,0
66,3,0,2,2,17,0
68,2,2,3,4,17,0
70,3,4,4,2,18,0
72,4,2,2,1,18,0
80,2,1,3,3,22,0
10,7,6,5,5,5,0
26,7,1,6,3,13,0
42,6,3,4,4,14,0
48,4,4,5,6,13,0
52,5,6,3,5,14,0
54,3,5,4,7,14,0
56,5,5,3,6,25,0
58,3,6,2,4,15,0
10,7,6,5,5,5,0
26,7,1,6,3,13,0
42,6,3,4,4,14,0
48,4,4,5,6,13,0
52,5,6,3,5,14,0
54,3,5,4,7,14,0
58,5,5,3,6,26,0
60,3,6,2,4,15,0
10,7,6,5,5,5,0
20,7,1,6,3,10,0
34,6,3,4,4,12,0
36,4,4,2,5,9,0
40,5,5,6,3,17,0
42,6,3,4,4,11,0
54,4,4,5,6,16,0
60,5,6,4,4,16,0
90,4,4,3,2,30,0
94,3,2,2,4,24,0
104,2,4,0,3,28,0
106,0,3,2,2,27,0
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
30,4,0,5,2,10,1
36,5,5,6,3,16,1
40,5,2,3,3,12,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
16,5,2,3,3,7,1
36,5,5,4,3,16,1
10,7,6,5,5,5,1
18,7,1,6,3,9,1
22,5,5,7,4,8,1
24,6,3,5,5,7,1
42,7,4,5,3,15,1
50,5,3,6,1,14,1
58,6,1,5,3,16,1
60,5,3,3,2,15,1
62,3,2,4,4,16,1
64,4,4,5,6,16,1
66,5,5,4,3,27,1
70,4,3,3,5,18,1
76,3,5,5,4,20,1
90,5,4,3,5,26,1
92,3,5,5,4,23,1
94,5,6,4,4,31,1
98,4,4,6,3,25,1
100,6,3,5,5,25,1
106,5,5,4,3,28,1
112,4,3,3,5,29,1
114,3,5,5,6,29,1
116,5,4,3,5,35,1
118,5,6,3,7,30,1
120,3,7,5,6,30,1
122,5,6,3,7,31,1
124,3,7,5,6,31,1
128,3,5,4,7,35,1
130,5,6,3,5,34,1
132,4,7,6,6,34,1
134,3,5,4,7,34,1
140,4,7,3,5,36,1
144,6,6,5,4,39,1
146,5,4,4,2,37,1
148,4,2,5,4,37,1
154,3,5,5,6,42,1
156,5,6,3,5,39,1
158,3,5,4,3,40,1
160,4,3,5,5,40,1
164,5,5,6,3,42,1
170,6,3,4,4,44,1
172,4,4,5,6,43,1
176,5,6,4,4,45,1
178,5,4,4,6,52,1
180,4,4,2,5,46,1
4,7,1,5,2,2,0
8,7,6,5,5,4,0
18,5,2,4,0,8,0
36,5,5,6,3,16,0
40,4,0,3,2,15,0
44,3,2,5,3,12,0
54,5,3,3,4,16,0
66,3,4,2,2,19,0
68,2,2,3,4,17,0
70,6,3,5,5,26,0
72,5,5,3,4,18,0
78,3,4,2,6,21,0
84,2,6,4,7,22,0
86,4,7,5,5,22,0
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
32,4,0,5,2,11,1
36,5,5,4,3,16,1
42,5,2,6,4,13,1
50,6,4,7,2,14,1
58,7,2,6,4,16,1
60,6,4,4,3,15,1
64,4,3,3,5,23,1
66,3,5,5,4,17,1
70,5,4,6,2,18,1
76,6,2,7,4,20,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
20,5,2,3,3,9,1
32,5,5,3,4,14,1
4,7,1,5,2,2,1
12,7,6,6,4,6,1
16,6,4,5,6,5,1
32,5,6,6,4,12,1
52,5,2,7,1,25,1
58,7,1,5,2,16,1
60,5,2,4,0,15,1
62,4,0,2,1,16,1
64,2,1,4,2,16,1
66,4,2,3,0,17,1
70,3,0,4,2,18,1
84,4,2,6,3,24,1
108,6,3,5,5,33,1
122,5,5,7,6,34,1
124,7,6,5,5,31,1
126,5,5,7,6,32,1
128,7,6,6,4,32,1
136,6,4,5,6,60,1
146,5,6,6,4,39,1
148,6,4,7,2,37,1
6,7,6,5,5,3,1
8,5,5,3,4,2,1
16,7,1,5,2,8,1
28,3,4,5,5,12,1
46,5,5,4,3,16,1
50,4,3,6,2,13,1
52,6,2,4,3,13,1
54,4,3,5,5,14,1
56,5,5,3,6,14,1
62,3,6,4,4,17,1
66,4,4,2,5,17,1
4,7,1,5,2,2,0
12,7,6,6,4,6,0
16,6,4,5,6,5,0
32,5,2,4,0,15,0
34,4,0,3,2,9,0
36,5,6,3,5,14,0
46,3,2,1,1,14,0
54,1,1,2,3,15,0
10,7,6,5,5,5,1
24,7,1,5,2,12,1
30,5,5,7,4,12,1
38,7,4,6,2,11,1
40,6,2,4,1,10,1
54,4,1,2,2,17,1
10,7,6,5,5,5,0
24,7,1,5,2,12,0
36,5,5,6,3,15,0
44,5,2,4,4,16,0
56,6,3,4,4,19,0
60,4,4,2,3,16,0
62,2,3,4,2,16,0
66,4,2,3,0,17,0
68,3,0,4,2,17,0
74,4,2,3,0,20,0
76,3,0,4,2,19,0
96,4,2,5,4,29,0
104,5,4,4,2,28,0
108,4,2,5,4,28,0
124,5,4,7,3,35,0
130,7,3,5,4,34,0
4,7,1,5,2,2,1
8,7,6,5,5,4,1
20,5,2,3,3,9,1
34,5,5,6,7,15,1
12,7,6,5,5,6,1
14,7,1,5,2,7,1
16,5,2,3,3,4,1
36,5,5,6,3,15,1
48,6,3,7,1,15,1
58,7,1,6,3,17,1
60,6,3,7,5,15,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,5,6,3,7,1
20,6,3,5,1,5,1
22,5,2,4,4,10,1
68,5,1,7,2,29,1
70,7,2,5,3,18,1
82,5,3,6,1,23,1
102,6,1,4,0,30,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
28,5,5,6,3,12,1
30,6,3,5,1,8,1
38,4,0,3,2,14,1
46,3,2,4,0,13,1
72,4,0,3,2,24,1
76,3,2,2,0,20,1
86,2,0,4,1,24,1
88,4,1,2,0,22,1
90,2,0,4,1,23,1
92,4,1,2,0,23,1
102,2,0,1,2,28,1
104,1,2,2,0,26,1
106,2,0,1,2,27,1
8,7,6,5,5,4,1
10,7,1,5,2,5,1
12,5,2,3,1,3,1
26,5,5,3,4,11,1
30,3,4,2,2,8,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
36,5,5,3,6,16,1
40,4,0,3,2,15,1
44,3,2,5,1,12,1
48,5,1,6,3,13,1
50,6,3,7,5,13,1
72,7,5,5,4,23,1
12,7,1,5,2,6,1
28,7,6,6,4,14,1
30,6,4,4,5,8,1
68,4,5,2,4,26,1
8,7,6,5,5,4,0
26,5,5,3,4,11,0
32,7,1,5,2,16,0
34,5,2,3,3,9,0
42,3,3,4,1,12,0
50,4,1,5,3,14,0
52,5,3,3,4,13,0
4,7,1,5,2,2,1
16,7,6,6,4,8,1
48,6,4,5,6,20,1
8,7,6,5,5,4,0
18,5,5,3,4,7,0
8,7,6,5,5,4,0
28,7,1,6,3,14,0
36,5,5,4,3,16,0
38,4,3,3,5,10,0
48,6,3,4,2,17,0
56,3,5,1,4,18,0
8,7,6,5,5,4,0
18,5,5,3,4,7,0
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
36,5,5,3,6,16,1
40,4,0,3,2,15,1
48,3,2,5,1,14,1
64,5,1,6,3,20,1
66,6,3,5,5,17,1
92,5,5,3,6,29,1
100,3,6,5,5,41,1
106,5,5,7,4,28,1
110,7,4,6,2,28,1
120,6,2,7,4,32,1
126,7,4,6,6,33,1
10,7,6,5,5,5,1
20,7,1,6,3,10,1
30,6,3,5,5,10,1
32,5,5,6,7,13,1
38,6,7,4,6,11,1
42,4,6,5,4,11,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,5,6,3,7,1
20,6,3,4,2,5,1
22,4,2,5,4,6,1
36,5,4,3,5,12,1
4,7,1,5,2,2,1
16,7,6,5,5,8,1
18,5,5,3,6,5,1
20,3,6,2,4,5,1
30,5,2,3,3,14,1
44,3,3,4,1,14,1
46,4,1,6,2,12,1
48,6,2,4,3,12,1
4,7,1,5,2,2,1
10,7,6,5,5,5,1
12,5,2,3,3,5,1
2,7,6,5,5,1,1
4,5,5,4,3,1,1
8,4,3,5,1,3,1
16,7,1,5,2,8,1
22,5,2,6,4,7,1
24,5,1,6,3,10,1
26,6,4,4,5,7,1
30,6,3,4,2,9,1
8,7,6,5,5,4,1
14,7,1,5,2,7,1
16,5,2,4,0,4,1
18,4,0,2,1,5,1
36,5,5,7,4,16,1
54,7,4,5,3,18,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
26,5,5,3,4,11,1
38,5,2,3,1,18,1
44,3,1,5,2,12,1
46,5,2,3,3,12,1
12,7,6,6,4,6,1
20,7,1,5,2,10,1
28,5,2,4,4,9,1
30,6,4,5,2,12,1
32,5,2,4,4,8,1
34,4,4,5,2,9,1
42,5,2,7,3,12,1
48,7,3,5,2,13,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
24,4,0,5,2,7,1
30,5,5,4,7,13,1
44,5,2,4,0,16,1
48,4,0,2,1,13,1
72,4,7,5,5,28,1
8,7,6,5,5,4,1
10,7,1,5,2,5,1
14,5,5,4,3,5,1
20,5,2,3,3,7,1
22,3,3,4,1,6,1
26,4,3,2,2,9,1
12,7,6,5,5,6,1
18,5,5,3,6,6,1
22,3,6,4,4,6,1
26,7,1,6,3,13,1
30,6,3,5,1,8,1
32,4,4,3,2,10,1
34,5,1,4,3,9,1
36,3,2,5,3,10,1
44,4,3,3,1,13,1
50,3,1,5,2,14,1
52,5,2,4,4,13,1
54,4,4,3,6,14,1
68,3,6,1,5,20,1
80,1,5,3,4,23,1
8,7,6,5,5,4,1
18,7,1,5,2,9,1
8,7,6,5,5,4,1
18,5,5,3,4,7,1
20,3,4,2,2,5,1
22,2,2,0,3,6,1
26,0,3,1,1,7,1
30,1,1,3,0,8,1
32,7,1,5,2,16,1
44,3,0,5,1,14,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
30,5,5,6,3,13,1
42,6,3,4,4,13,1
46,4,0,3,2,18,1
50,3,2,4,0,13,1
54,4,0,2,1,14,1
56,2,1,3,3,14,1
74,3,3,5,4,23,1
8,7,6,5,5,4,1
20,7,1,5,2,10,1
24,5,5,7,4,10,1
28,7,4,6,2,8,1
30,5,2,3,3,10,1
4,7,1,5,2,2,1
12,7,6,5,5,6,1
16,5,2,7,1,7,1
20,7,1,6,3,6,1
26,5,5,7,4,10,1
34,7,4,6,6,10,1
50,6,3,7,5,20,1
58,7,5,6,3,16,1
60,6,3,4,2,15,1
76,4,2,2,3,23,1
78,2,3,4,2,20,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,5,6,3,7,1
20,6,3,4,2,5,1
28,4,2,6,3,9,1
34,6,3,5,5,10,1
46,5,2,4,4,22,1
48,4,4,2,3,12,1
50,2,3,0,4,13,1
10,7,1,5,2,5,1
14,7,6,5,5,7,1
30,5,5,4,3,11,1
34,5,2,3,1,14,1
50,3,1,5,2,16,1
52,5,2,3,3,13,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
16,5,2,4,0,7,1
24,4,0,3,2,8,1
26,3,2,2,4,7,1
36,5,5,3,6,16,1
48,3,6,1,5,15,1
58,1,5,0,3,17,1
64,0,3,2,4,17,1
8,7,6,5,5,4,0
16,7,1,5,2,8,0
26,5,2,4,4,9,0
28,4,4,3,2,7,0
8,7,6,5,5,4,1
14,5,5,6,3,5,1
22,6,3,4,2,7,1
26,7,1,6,3,13,1
38,4,2,3,0,13,1
50,6,3,5,1,18,1
8,7,6,5,5,4,1
24,5,5,3,4,10,1
26,3,4,5,5,7,1
48,7,1,6,3,24,1
